skills,major,education_level,pay,location
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,New Jersey
"Big Data, Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Washington
Metadata,Computer Science,No Education Listed,,Maryland
Big Data,Computer Science,Bachelor's degree,,California
"Big Data, Machine Learning",Computer Science,Bachelor's degree,,Washington
"Apache Hadoop, Machine Learning",Computer Science,Ph.D. or professional degree,,California
"Apache Hadoop, Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Washington
Data Manipulation,Computer Science,Bachelor's degree,,North Carolina
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree|Master's degree,,Massachusetts
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Massachusetts
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Washington
"Big Data, Machine Learning",Computer Science,Ph.D. or professional degree,,Massachusetts
"Machine Learning, Big Data",Computer Science,Master's degree,,Washington
Apache Hadoop,Computer Science,No Education Listed,,Pennsylvania
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,New Jersey
Machine Learning,Computer Science,Bachelor's degree,,Wisconsin
Artificial Intelligence,Computer Science,No Education Listed,,Oklahoma
Machine Learning,Computer Science,Bachelor's degree,,New Jersey
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
"Big Data, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
Metadata,Computer Science,No Education Listed,,Connecticut
Big Data,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,Bachelor's degree,,Texas
Apache Hadoop,Computer Science,Bachelor's degree|Master's degree,,Florida
Machine Learning,Computer Science,Ph.D. or professional degree,,California
Data Manipulation Language,Computer Science,No Education Listed,,Oregon
Machine Learning,Computer Science,Master's degree,,Illinois
Metadata,Computer Science,Bachelor's degree,54000.0,Colorado
Machine Learning,Computer Science,No Education Listed,,New Jersey
Machine Learning,Computer Science,No Education Listed,,Florida
"Apache Hadoop, Big Data, Splunk",Computer Science,Bachelor's degree,,California
"Big Data, Machine Learning Algorithms, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,California
