skills,major,education_level,pay,location
Artificial Intelligence,Computer Science,No Education Listed,,Virginia
"Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
"Machine Learning Methods, Apache Spark, Machine Learning",Computer Science,Ph.D. or professional degree,,California
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,Washington
Big Data,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Pennsylvania
Data Manipulation,Computer Science,No Education Listed,,New York
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,"Washington, D.C. (District of Columbia)"
"Apache Spark, Machine Learning, Machine Learning Algorithms",Computer Science,Bachelor's degree,,Massachusetts
Data Science,Computer Science,No Education Listed,,Texas
Splunk,Computer Science,No Education Listed,,Texas
"Apache Hadoop, Machine Learning",Computer Science,No Education Listed,,Maryland
Machine Learning,Computer Science,No Education Listed,,Texas
Data Science,Computer Science,Bachelor's degree|Master's degree,,California
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Ph.D. or professional degree,,California
Artificial Intelligence,Computer Science,Bachelor's degree,,North Carolina
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Ph.D. or professional degree,,New York
"Big Data, Apache Spark",Computer Science,Bachelor's degree,,California
Apache Hadoop,Computer Science,Master's degree|Ph.D. or professional degree,,California
"Apache Hadoop, Data Science, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Apache Hadoop, Data Science, Data Engineering, Apache Spark, Machine Learning",Computer Science,No Education Listed,,Minnesota
Artificial Intelligence,Computer Science,No Education Listed,,California
Data Science,Computer Science,Bachelor's degree|Master's degree,,Maryland
"Machine Learning Methods, Machine Learning Algorithms",Computer Science,Bachelor's degree,47500.0,Pennsylvania
"Machine Learning, Metadata",Computer Science,Ph.D. or professional degree,,Washington
Data Manipulation,Computer Science,Bachelor's degree,33280.0,Minnesota
Artificial Intelligence,Computer Science,Master's degree,,California
Metadata,Computer Science,No Education Listed,,California
"Big Data, Artificial Intelligence",Computer Science,No Education Listed,150000.0,California
Splunk,Computer Science,Bachelor's degree,,California
"Data Science, Machine Learning",Computer Science,Ph.D. or professional degree,,Illinois
Splunk,Computer Science,Bachelor's degree,,Texas
Machine Learning Algorithms,Computer Science,No Education Listed,,Michigan
Data Manipulation,Computer Science,Bachelor's degree,,Massachusetts
Splunk,Computer Science,No Education Listed,,Texas
"Apache Hadoop, Big Data, Apache Spark",Computer Science,No Education Listed,,Oregon
"Big Data, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,New York
"Machine Learning Algorithms, Machine Learning",Computer Science,No Education Listed,,"Washington, D.C. (District of Columbia)"
"Machine Learning, Torch (Machine Learning), Artificial Intelligence",Computer Science,Bachelor's degree,,Texas
"Big Data, Splunk",Computer Science,No Education Listed,,California
"Big Data, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,California
"Apache Hadoop, Machine Learning Algorithms",Computer Science,Bachelor's degree,,Virginia
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Apache Hadoop, Big Data, Data Engineering",Computer Science,Bachelor's degree|Master's degree,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Wisconsin
"Data Engineering, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,California
"Apache Hadoop, Data Science, Big Data, Apache Spark, Artificial Intelligence",Computer Science,No Education Listed,145000.0,Indiana
Splunk,Computer Science,Bachelor's degree|Master's degree,,Virginia
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Machine Learning,Computer Science,No Education Listed,,Illinois
"Apache Hadoop, Big Data, Apache Spark",Computer Science,Bachelor's degree,,Maryland
Machine Learning,Computer Science,No Education Listed,,California
"Data Science, Data Engineering, Splunk, Machine Learning",Computer Science,Bachelor's degree,,"Washington, D.C. (District of Columbia)"
Data Science,Computer Science,Bachelor's degree,,Minnesota
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
Data Engineering,Computer Science,No Education Listed,,Missouri
Artificial Intelligence,Computer Science,Bachelor's degree,,New Mexico
"Machine Learning, Artificial Intelligence, Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Master's degree,40340.0,Texas
Artificial Intelligence,Computer Science,No Education Listed,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
Machine Learning,Computer Science,Master's degree,,California
"Splunk, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Texas
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
"Apache Hadoop, Data Science, Apache Spark, Machine Learning Algorithms",Computer Science,No Education Listed,,North Carolina
"Machine Learning Methods, Data Science, Machine Learning",Computer Science,No Education Listed,,Florida
"Big Data, Azure Machine Learning",Computer Science,No Education Listed,,Washington
"Machine Learning, Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Master's degree,,Colorado
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Massachusetts
"Big Data, Apache Spark",Computer Science,High school or GED|Associate degree|Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Data Science, Big Data, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Massachusetts
Data Science,Computer Science,Bachelor's degree|Master's degree,,Massachusetts
"Data Engineering, Big Data, Splunk, Machine Learning",Computer Science,Bachelor's degree,,"Washington, D.C. (District of Columbia)"
Data Manipulation,Computer Science,Bachelor's degree,110000.0,Texas
"Data Science, Machine Learning",Computer Science,No Education Listed,,Florida
Artificial Intelligence,Computer Science,Bachelor's degree,,Colorado
Apache Hadoop,Computer Science,Bachelor's degree,,Maryland
"Data Science, Machine Learning Algorithms",Computer Science,Master's degree,,California
Data Manipulation,Computer Science,Associate degree,,Florida
"Data Manipulation, Data Science, Machine Learning",Computer Science,No Education Listed,,Georgia
"Data Science, Artificial Intelligence, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Illinois
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Georgia
Machine Learning,Computer Science,No Education Listed,,New York
Machine Learning,Computer Science,No Education Listed,,Texas
Big Data,Computer Science,No Education Listed,75000.0,New Jersey
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
"PyTorch (Machine Learning Library), Artificial Intelligence",Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,No Education Listed,,California
Data Science,Computer Science,Bachelor's degree,,Washington
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Colorado
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,California
"Apache Hadoop, PyTorch (Machine Learning Library)",Computer Science,No Education Listed,,Virginia
Artificial Intelligence,Computer Science,No Education Listed,,Maryland
"Data Manipulation, Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,North Carolina
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,California
"Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Pennsylvania
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Ohio
"Data Science, Artificial Intelligence",Computer Science,No Education Listed,,New York
Machine Learning,Computer Science,No Education Listed,,New York
Big Data,Computer Science,No Education Listed,,California
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,New York
"Big Data, Artificial Intelligence",Computer Science,No Education Listed,,Georgia
Machine Learning,Computer Science,Ph.D. or professional degree,,Pennsylvania
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,Colorado
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Michigan
"Data Engineering, Big Data, Machine Learning",Computer Science,Bachelor's degree,,Texas
"Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
Data Science,Computer Science,Bachelor's degree,,California
"Big Data, Splunk",Computer Science,No Education Listed,,California
Machine Learning,Computer Science,No Education Listed,,California
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Delaware
Artificial Intelligence,Computer Science,Master's degree,,Florida
Data Manipulation,Computer Science,No Education Listed,57200.0,North Carolina
Machine Learning,Computer Science,Bachelor's degree,,Tennessee
Data Science,Computer Science,No Education Listed,,California
"Apache Hadoop, Data Science, Data Engineering, Apache Spark, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,California
Machine Learning,Computer Science,Bachelor's degree,,Washington
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Washington
Metadata,Computer Science,Bachelor's degree,,Michigan
"Apache Hadoop, Data Science, Machine Learning",Computer Science,Master's degree,,California
Data Manipulation,Computer Science,Bachelor's degree,,New York
Artificial Intelligence,Computer Science,Associate degree,,California
"Data Science, Machine Learning",Computer Science,No Education Listed,,California
Big Data,Computer Science,Master's degree,,Oklahoma
"Data Science, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Pennsylvania
Data Manipulation,Computer Science,No Education Listed,,Virginia
Apache Hadoop,Computer Science,Bachelor's degree,,California
"Big Data, Data Engineering",Computer Science,Bachelor's degree|Master's degree,,Washington
Big Data,Computer Science,Ph.D. or professional degree,52000.0,New Mexico
"Apache Hadoop, Data Science, Machine Learning Algorithms",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,New York
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,Illinois
Artificial Intelligence,Computer Science,No Education Listed,,Illinois
Data Science,Computer Science,High school or GED|Bachelor's degree,,West Virginia
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Texas
Splunk,Computer Science,Bachelor's degree|Master's degree,,New Hampshire
"Apache Hadoop, Big Data, Apache Spark, Machine Learning, Artificial Intelligence",Computer Science,Master's degree,,Washington
Apache Hadoop,Computer Science,Bachelor's degree,,California
Apache Spark,Computer Science,High school or GED,,Indiana
Splunk,Computer Science,No Education Listed,,Texas
Machine Learning,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,No Education Listed,,Utah
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
Data Manipulation,Computer Science,Bachelor's degree,47500.0,Arizona
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Connecticut
Machine Learning,Computer Science,Bachelor's degree,,California
Data Manipulation,Computer Science,No Education Listed,,California
Machine Learning,Computer Science,No Education Listed,46081.0,North Carolina
Machine Learning,Computer Science,No Education Listed,,California
Data Manipulation Language,Computer Science,No Education Listed,,Maryland
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,Washington
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,California
"Metadata Management, Metadata",Computer Science,Bachelor's degree,,"Washington, D.C. (District of Columbia)"
"Apache Hadoop, Big Data, Splunk",Computer Science,No Education Listed,,Georgia
"Splunk, Machine Learning",Computer Science,No Education Listed,,New Jersey
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
Machine Learning Algorithms,Computer Science,No Education Listed,,Massachusetts
Big Data,Computer Science,Master's degree,,New York
"Apache Hadoop, Big Data, Machine Learning",Computer Science,Bachelor's degree,,North Carolina
"Apache Hadoop, Big Data, Data Engineering, Apache Spark, Data Science, Machine Learning, Metadata, Artificial Intelligence",Computer Science,Master's degree,,California
Apache Hadoop,Computer Science,Bachelor's degree,,Michigan
"Apache Hadoop, Big Data, Apache Spark, Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Arizona
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Arizona
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
Apache Spark,Computer Science,High school or GED,,Michigan
Machine Learning,Computer Science,Bachelor's degree,,New Jersey
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Illinois
"Data Science, Machine Learning",Computer Science,No Education Listed,,Washington
Machine Learning,Computer Science,Ph.D. or professional degree,,Washington
"Data Science, Machine Learning",Computer Science,No Education Listed,,California
"Apache Hadoop, Big Data, Apache Spark, Metadata",Computer Science,Bachelor's degree,114400.0,Florida
Big Data,Computer Science,No Education Listed,95004.0,North Carolina
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,Massachusetts
Metadata,Computer Science,No Education Listed,,North Carolina
Machine Learning,Computer Science,No Education Listed,,New York
"Data Science, Machine Learning",Computer Science,No Education Listed,,California
"Data Science, Big Data, Artificial Intelligence",Computer Science,High school or GED,,Illinois
Machine Learning,Computer Science,Master's degree,,Massachusetts
Splunk,Computer Science,Bachelor's degree|Master's degree,,California
"Data Science, Machine Learning",Computer Science,Master's degree,,Virginia
"Apache Hadoop, MapR (Big Data), Splunk, Apache Spark, Machine Learning",Computer Science,No Education Listed,,Texas
Artificial Intelligence,Computer Science,No Education Listed,,Massachusetts
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Washington
Data Science,Computer Science,Master's degree,,Colorado
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Texas
Splunk,Computer Science,Bachelor's degree,,California
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,New York
Data Manipulation,Computer Science,Bachelor's degree,,New York
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,New York
Machine Learning,Computer Science,High school or GED,,Ohio
Data Engineering,Computer Science,Bachelor's degree,,Mississippi
"Data Science, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Illinois
"Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,New York
Data Science,Computer Science,No Education Listed,,Georgia
"Automated Machine Learning, Data Science",Computer Science,No Education Listed,,Massachusetts
"Apache Hadoop, Data Engineering, Big Data, Machine Learning",Computer Science,No Education Listed,156000.0,New York
Big Data,Computer Science,Bachelor's degree,,Washington
"Apache Hadoop, MapR (Big Data), Big Data, Data Engineering, Apache Spark",Computer Science,Bachelor's degree,,California
"Data Science, Big Data, Machine Learning",Computer Science,Bachelor's degree,,Massachusetts
"Apache Hadoop, Data Science",Computer Science,Bachelor's degree|Master's degree,,North Carolina
"Metadata Repository, Metadata Management, Splunk, Metadata",Computer Science,Bachelor's degree,,Michigan
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,140000.0,Massachusetts
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Mississippi
Machine Learning,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Data Engineering, Machine Learning",Computer Science,Bachelor's degree,,New York
"Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,New York
Machine Learning,Computer Science,High school or GED|Bachelor's degree,,Arizona
Machine Learning Algorithms,Computer Science,No Education Listed,,California
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Ph.D. or professional degree,,Washington
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Massachusetts
Data Engineering,Computer Science,Master's degree,,Texas
"Apache Hadoop, Big Data, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Indiana
"Big Data, Artificial Intelligence",Computer Science,No Education Listed,,Massachusetts
Metadata,Computer Science,Bachelor's degree,,California
Big Data,Computer Science,Bachelor's degree,,Alabama
Data Manipulation,Computer Science,High school or GED,,Massachusetts
Machine Learning,Computer Science,Master's degree,,California
Transformer (Machine Learning Model),Computer Science,Bachelor's degree,,Illinois
"Data Science, Splunk, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Hawaii
Big Data,Computer Science,Bachelor's degree,,California
"Data Science, Machine Learning",Computer Science,No Education Listed,,California
"Big Data, Azure Machine Learning, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Georgia
Data Engineering,Computer Science,No Education Listed,,California
Metadata,Computer Science,Bachelor's degree,,Massachusetts
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Massachusetts
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Michigan
Data Science,Computer Science,Bachelor's degree|Master's degree,,Washington
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,California
"Apache Hadoop, MapR (Big Data), Big Data, Apache Spark, Machine Learning",Computer Science,No Education Listed,,New York
Machine Learning,Computer Science,No Education Listed,,New York
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Pennsylvania
Machine Learning,Computer Science,No Education Listed,,New York
Big Data,Computer Science,Bachelor's degree,,Florida
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Georgia
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Colorado
"Apache Hadoop, Data Science, Data Engineering, Big Data, Splunk, Apache Spark",Computer Science,Bachelor's degree|Master's degree,,California
Artificial Intelligence,Computer Science,No Education Listed,,Texas
"Apache Hadoop, Data Engineering, Apache Spark",Computer Science,Bachelor's degree,,Illinois
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,California
"Apache Hadoop, Apache Spark, Big Data Analytics, Big Data",Computer Science,No Education Listed,,Texas
"Data Science, Machine Learning, Torch (Machine Learning)",Computer Science,No Education Listed,,Virginia
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Texas
Big Data,Computer Science,No Education Listed,,California
Machine Learning,Computer Science,Bachelor's degree,,Virginia
"Machine Learning, Artificial Intelligence",Computer Science,High school or GED|Bachelor's degree,,Florida
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,California
Data Manipulation,Computer Science,High school or GED|Bachelor's degree,,Tennessee
"Apache Hadoop, Apache Spark",Computer Science,Bachelor's degree|Master's degree,,California
Metadata,Computer Science,Master's degree|Ph.D. or professional degree,,North Carolina
"Apache Hadoop, Splunk, Apache Spark, Data Science, Machine Learning",Computer Science,No Education Listed,,Colorado
"Data Science, Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Arizona
Artificial Intelligence,Computer Science,No Education Listed,,North Carolina
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,Missouri
Apache Spark,Computer Science,No Education Listed,,California
"Data Science, Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
Data Science,Computer Science,Bachelor's degree|Master's degree,,New York
Machine Learning,Computer Science,High school or GED,135000.0,Pennsylvania
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,92592.0,California
Artificial Intelligence,Computer Science,No Education Listed,,Massachusetts
Artificial Intelligence,Computer Science,No Education Listed,,Colorado
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,California
Data Science,Computer Science,Master's degree,,Rhode Island
Machine Learning,Computer Science,Bachelor's degree,,California
Apache Hadoop,Computer Science,Bachelor's degree|Master's degree,,Kentucky
Data Science,Computer Science,No Education Listed,,California
"Apache Hadoop, Data Science, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Apache Spark, Big Data, Machine Learning, Big Data Analytics",Computer Science,No Education Listed,,California
"Data Engineering, Machine Learning, Metadata",Computer Science,Bachelor's degree,,Washington
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,North Carolina
"Big Data, Machine Learning",Computer Science,Bachelor's degree,,Washington
"Data Engineering, Big Data",Computer Science,Master's degree,,California
Machine Learning,Computer Science,Master's degree,,California
Artificial Intelligence,Computer Science,No Education Listed,,California
Metadata,Computer Science,Bachelor's degree,70720.0,Pennsylvania
Data Engineering,Computer Science,Bachelor's degree|Master's degree,,North Carolina
Data Science,Computer Science,Bachelor's degree,,Virginia
Machine Learning,Computer Science,Bachelor's degree,,Virginia
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Massachusetts
Apache Hadoop,Computer Science,No Education Listed,,California
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Ohio
"Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,Maryland
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,North Carolina
Artificial Intelligence,Computer Science,Bachelor's degree,,California
"Data Science, Data Engineering, Big Data, Machine Learning",Computer Science,High school or GED|Bachelor's degree,,Oregon
Artificial Intelligence,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Apache Spark, Machine Learning, PyTorch (Machine Learning Library)",Computer Science,Bachelor's degree,,Texas
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,California
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,North Carolina
Metadata,Computer Science,No Education Listed,100880.0,Virginia
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Texas
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Colorado
Artificial Intelligence,Computer Science,No Education Listed,,New Jersey
Metadata,Computer Science,Bachelor's degree,,New Jersey
"Data Science, Big Data, Machine Learning, Artificial Intelligence, Big Data Analytics",Computer Science,No Education Listed,,Virginia
"Apache Hadoop, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,California
Apache Spark,Computer Science,Bachelor's degree,,Illinois
"Machine Learning, Metadata",Computer Science,Bachelor's degree|Master's degree,,California
Data Science,Computer Science,Master's degree,,New York
"Apache Hadoop, Big Data, Apache Spark",Computer Science,Master's degree,,California
Machine Learning,Computer Science,Bachelor's degree,,Oregon
Machine Learning,Computer Science,No Education Listed,130000.0,California
Data Science,Computer Science,No Education Listed,,Oklahoma
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,Texas
"Apache Hadoop, Big Data, Data Engineering, Apache Spark, Metadata",Computer Science,Master's degree,,New Jersey
Data Science,Computer Science,Master's degree|Ph.D. or professional degree,,New York
Artificial Intelligence,Computer Science,Bachelor's degree,,Illinois
"Apache Hadoop, Data Science, Data Engineering, Big Data",Computer Science,Bachelor's degree,,Illinois
"Data Manipulation, Data Science, Machine Learning",Computer Science,Bachelor's degree,,Illinois
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,150000.0,Connecticut
"Apache Spark, Big Data",Computer Science,No Education Listed,,New York
Apache Hadoop,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,New Jersey
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,Connecticut
"Apache Hadoop, Big Data, Apache Spark, Machine Learning",Computer Science,No Education Listed,,California
"Data Manipulation, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,110000.0,New York
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Arizona
Data Engineering,Computer Science,Bachelor's degree,,Ohio
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,North Carolina
Metadata,Computer Science,Bachelor's degree|Master's degree,,North Carolina
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Kentucky
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Texas
Artificial Intelligence,Computer Science,No Education Listed,24960.0,Florida
Apache Spark,Computer Science,Bachelor's degree|Master's degree,,Georgia
"Apache Hadoop, Data Science, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
"Splunk Enterprise Security, Apache Hadoop, Splunk",Computer Science,Associate degree|Bachelor's degree|Master's degree,,California
"Data Engineering, Big Data, Machine Learning",Computer Science,No Education Listed,,New York
"Apache Hadoop, Data Science, Apache Spark, Machine Learning",Computer Science,Ph.D. or professional degree,,California
"Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree,170000.0,New York
"Azure Machine Learning, Data Science, Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
Data Manipulation,Computer Science,No Education Listed,130000.0,Massachusetts
Splunk,Computer Science,No Education Listed,,Missouri
"Apache Hadoop, Big Data, Apache Spark, Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Georgia
Data Engineering,Computer Science,No Education Listed,,Texas
Metadata,Computer Science,No Education Listed,,Kansas
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,Wisconsin
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Florida
"Data Science, Splunk, Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree,,California
"Data Engineering, Big Data, Apache Spark, Data Science, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Texas
Metadata,Computer Science,Bachelor's degree|Master's degree,,North Carolina
Artificial Intelligence,Computer Science,No Education Listed,,California
Splunk,Computer Science,Bachelor's degree,,Florida
"Data Science, Machine Learning",Computer Science,No Education Listed,,Colorado
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Massachusetts
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Louisiana
"Data Science, Applications Of Artificial Intelligence, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,"Washington, D.C. (District of Columbia)"
Data Science,Computer Science,Master's degree,,New York
Data Science,Computer Science,No Education Listed,,North Carolina
"Apache Hadoop, Machine Learning",Computer Science,Bachelor's degree,,Pennsylvania
"Apache Hadoop, Data Science, Big Data, Splunk",Computer Science,Bachelor's degree,,Texas
"Data Science, Machine Learning Algorithms, Machine Learning",Computer Science,No Education Listed,,California
Splunk,Computer Science,Bachelor's degree,,Virginia
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Georgia
"Apache Hadoop, Data Science, Machine Learning Methods, Data Manipulation, Apache Spark",Computer Science,Master's degree|Ph.D. or professional degree,,Maryland
"Data Science, Machine Learning, PyTorch (Machine Learning Library), Machine Learning Algorithms",Computer Science,Bachelor's degree,,Massachusetts
Data Manipulation,Computer Science,Bachelor's degree,,North Carolina
Artificial Intelligence,Computer Science,High school or GED,,New York
"Apache Hadoop, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,Washington
Big Data,Computer Science,No Education Listed,,Missouri
Machine Learning,Computer Science,No Education Listed,,Oregon
Artificial Intelligence,Computer Science,No Education Listed,,Florida
Splunk,Computer Science,Bachelor's degree|Master's degree,,California
"Data Engineering, Big Data, Artificial Intelligence",Computer Science,Bachelor's degree,,New York
Artificial Intelligence,Computer Science,No Education Listed,,Washington
Machine Learning,Computer Science,Bachelor's degree,,Florida
"Apache Spark, Machine Learning",Computer Science,No Education Listed,,New Jersey
"Data Science, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,New York
Big Data,Computer Science,High school or GED,,Illinois
"Machine Learning, Artificial Intelligence",Computer Science,Bachelor's degree|Master's degree,,California
Data Engineering,Computer Science,Bachelor's degree|Master's degree,,"Washington, D.C. (District of Columbia)"
Machine Learning,Computer Science,Bachelor's degree|Master's degree,,Michigan
Machine Learning,Computer Science,Ph.D. or professional degree,,Texas
"Data Science, Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,185000.0,"Washington, D.C. (District of Columbia)"
"Apache Hadoop, MapR (Big Data), Big Data",Computer Science,Bachelor's degree,,Georgia
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,170000.0,California
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Louisiana
"Data Science, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,California
